page,section,page_purpose
39,Chapter 5: Graphs and Network Reasoning,opening objectives and diagnostic
40,Chapter 5: Graphs and Network Reasoning,core intuition
41,Chapter 5: Graphs and Network Reasoning,formal explanation
42,Chapter 5: Graphs and Network Reasoning,worked example
43,Chapter 5: Graphs and Network Reasoning,guided practice
44,Chapter 5: Graphs and Network Reasoning,implementation or derivation
45,Chapter 5: Graphs and Network Reasoning,common mistakes and debugging
46,Chapter 5: Graphs and Network Reasoning,independent exercises
47,Chapter 5: Graphs and Network Reasoning,retrieval review
48,Chapter 6: Sorting Searching and Selection,opening objectives and diagnostic
49,Chapter 6: Sorting Searching and Selection,core intuition
50,Chapter 6: Sorting Searching and Selection,formal explanation
51,Chapter 6: Sorting Searching and Selection,worked example
52,Chapter 6: Sorting Searching and Selection,guided practice
53,Chapter 6: Sorting Searching and Selection,implementation or derivation
54,Chapter 6: Sorting Searching and Selection,common mistakes and debugging
55,Chapter 6: Sorting Searching and Selection,independent exercises
56,Chapter 6: Sorting Searching and Selection,retrieval review
57,Chapter 7: Greedy Algorithms,opening objectives and diagnostic
58,Chapter 7: Greedy Algorithms,core intuition
59,Chapter 7: Greedy Algorithms,formal explanation
60,Chapter 7: Greedy Algorithms,worked example
61,Chapter 7: Greedy Algorithms,guided practice
62,Chapter 7: Greedy Algorithms,implementation or derivation
63,Chapter 7: Greedy Algorithms,common mistakes and debugging
64,Chapter 7: Greedy Algorithms,independent exercises
65,Chapter 7: Greedy Algorithms,retrieval review
66,Chapter 8: Dynamic Programming,opening objectives and diagnostic
67,Chapter 8: Dynamic Programming,core intuition
68,Chapter 8: Dynamic Programming,formal explanation
69,Chapter 8: Dynamic Programming,worked example
70,Chapter 8: Dynamic Programming,guided practice
71,Chapter 8: Dynamic Programming,implementation or derivation
72,Chapter 8: Dynamic Programming,common mistakes and debugging
73,Chapter 8: Dynamic Programming,independent exercises
74,Chapter 8: Dynamic Programming,retrieval review
75,Chapter 9: Backtracking and Constraint Search,opening objectives and diagnostic
76,Chapter 9: Backtracking and Constraint Search,core intuition
77,Chapter 9: Backtracking and Constraint Search,formal explanation
78,Chapter 9: Backtracking and Constraint Search,worked example
79,Chapter 9: Backtracking and Constraint Search,guided practice
80,Chapter 9: Backtracking and Constraint Search,implementation or derivation
81,Chapter 9: Backtracking and Constraint Search,common mistakes and debugging
82,Chapter 9: Backtracking and Constraint Search,independent exercises
83,Chapter 9: Backtracking and Constraint Search,retrieval review
84,Chapter 10: Algorithms Inside AI Systems,opening objectives and diagnostic
85,Chapter 10: Algorithms Inside AI Systems,core intuition
86,Chapter 10: Algorithms Inside AI Systems,formal explanation
87,Chapter 10: Algorithms Inside AI Systems,worked example
88,Chapter 10: Algorithms Inside AI Systems,guided practice
89,Chapter 10: Algorithms Inside AI Systems,implementation or derivation
90,Chapter 10: Algorithms Inside AI Systems,common mistakes and debugging
91,Chapter 10: Algorithms Inside AI Systems,independent exercises
92,Chapter 10: Algorithms Inside AI Systems,retrieval review
93,"Capstone, review, and cumulative assessment","Page 1 of 5: Capstone, review, and cumulative assessment"
94,"Capstone, review, and cumulative assessment","Page 2 of 5: Capstone, review, and cumulative assessment"
95,"Capstone, review, and cumulative assessment","Page 3 of 5: Capstone, review, and cumulative assessment"
96,"Capstone, review, and cumulative assessment","Page 4 of 5: Capstone, review, and cumulative assessment"
97,"Capstone, review, and cumulative assessment","Page 5 of 5: Capstone, review, and cumulative assessment"
98,"Glossary, answer guidance, index, and next steps","Page 1 of 3: Glossary, answer guidance, index, and next steps"
99,"Glossary, answer guidance, index, and next steps","Page 2 of 3: Glossary, answer guidance, index, and next steps"
100,"Glossary, answer guidance, index, and next steps","Page 3 of 3: Glossary, answer guidance, index, and next steps"
