page,section,page_purpose
41,Chapter 5: Probability Foundations,formal explanation
42,Chapter 5: Probability Foundations,worked example
43,Chapter 5: Probability Foundations,guided practice
44,Chapter 5: Probability Foundations,implementation or derivation
45,Chapter 5: Probability Foundations,common mistakes and debugging
46,Chapter 5: Probability Foundations,independent exercises
47,Chapter 5: Probability Foundations,retrieval review
48,Chapter 6: Statistics Sampling and Uncertainty,opening objectives and diagnostic
49,Chapter 6: Statistics Sampling and Uncertainty,core intuition
50,Chapter 6: Statistics Sampling and Uncertainty,formal explanation
51,Chapter 6: Statistics Sampling and Uncertainty,worked example
52,Chapter 6: Statistics Sampling and Uncertainty,guided practice
53,Chapter 6: Statistics Sampling and Uncertainty,implementation or derivation
54,Chapter 6: Statistics Sampling and Uncertainty,common mistakes and debugging
55,Chapter 6: Statistics Sampling and Uncertainty,independent exercises
56,Chapter 6: Statistics Sampling and Uncertainty,retrieval review
57,Chapter 7: Derivatives and Gradients,opening objectives and diagnostic
58,Chapter 7: Derivatives and Gradients,core intuition
59,Chapter 7: Derivatives and Gradients,formal explanation
60,Chapter 7: Derivatives and Gradients,worked example
61,Chapter 7: Derivatives and Gradients,guided practice
62,Chapter 7: Derivatives and Gradients,implementation or derivation
63,Chapter 7: Derivatives and Gradients,common mistakes and debugging
64,Chapter 7: Derivatives and Gradients,independent exercises
65,Chapter 7: Derivatives and Gradients,retrieval review
66,Chapter 8: Optimization and Gradient Descent,opening objectives and diagnostic
67,Chapter 8: Optimization and Gradient Descent,core intuition
68,Chapter 8: Optimization and Gradient Descent,formal explanation
69,Chapter 8: Optimization and Gradient Descent,worked example
70,Chapter 8: Optimization and Gradient Descent,guided practice
71,Chapter 8: Optimization and Gradient Descent,implementation or derivation
72,Chapter 8: Optimization and Gradient Descent,common mistakes and debugging
73,Chapter 8: Optimization and Gradient Descent,independent exercises
74,Chapter 8: Optimization and Gradient Descent,retrieval review
75,Chapter 9: Information Theory and Numerical Stability,opening objectives and diagnostic
76,Chapter 9: Information Theory and Numerical Stability,core intuition
77,Chapter 9: Information Theory and Numerical Stability,formal explanation
78,Chapter 9: Information Theory and Numerical Stability,worked example
79,Chapter 9: Information Theory and Numerical Stability,guided practice
80,Chapter 9: Information Theory and Numerical Stability,implementation or derivation
81,Chapter 9: Information Theory and Numerical Stability,common mistakes and debugging
82,Chapter 9: Information Theory and Numerical Stability,independent exercises
83,Chapter 9: Information Theory and Numerical Stability,retrieval review
84,Chapter 10: Connecting Mathematics to Models,opening objectives and diagnostic
85,Chapter 10: Connecting Mathematics to Models,core intuition
86,Chapter 10: Connecting Mathematics to Models,formal explanation
87,Chapter 10: Connecting Mathematics to Models,worked example
88,Chapter 10: Connecting Mathematics to Models,guided practice
89,Chapter 10: Connecting Mathematics to Models,implementation or derivation
90,Chapter 10: Connecting Mathematics to Models,common mistakes and debugging
91,Chapter 10: Connecting Mathematics to Models,independent exercises
92,Chapter 10: Connecting Mathematics to Models,retrieval review
93,"Capstone, review, and cumulative assessment","Page 1 of 5: Capstone, review, and cumulative assessment"
94,"Capstone, review, and cumulative assessment","Page 2 of 5: Capstone, review, and cumulative assessment"
95,"Capstone, review, and cumulative assessment","Page 3 of 5: Capstone, review, and cumulative assessment"
96,"Capstone, review, and cumulative assessment","Page 4 of 5: Capstone, review, and cumulative assessment"
97,"Capstone, review, and cumulative assessment","Page 5 of 5: Capstone, review, and cumulative assessment"
98,"Glossary, answer guidance, index, and next steps","Page 1 of 3: Glossary, answer guidance, index, and next steps"
99,"Glossary, answer guidance, index, and next steps","Page 2 of 3: Glossary, answer guidance, index, and next steps"
100,"Glossary, answer guidance, index, and next steps","Page 3 of 3: Glossary, answer guidance, index, and next steps"
