problem_id,track_id,track,module,objective_id,difficulty,problem_type,status,required_reviews
CQAI-00114,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O07,beginner,coding_challenge,planned,automated+technical+editorial
CQAI-00115,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O07,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00116,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O08,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00117,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O08,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00118,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O08,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00119,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O08,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00120,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O08,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00121,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O01,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00122,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O01,beginner,model_analysis,planned,automated+technical+editorial
CQAI-00123,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O01,intermediate,model_analysis,planned,automated+technical+editorial
CQAI-00124,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O01,intermediate,model_analysis,planned,automated+technical+editorial
CQAI-00125,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O01,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00126,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O02,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00127,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O02,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00128,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O02,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00129,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O02,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00130,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O02,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00131,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O03,intermediate,mini_project,planned,automated+technical+editorial
CQAI-00132,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O03,intermediate,case_study,planned,automated+technical+editorial
CQAI-00133,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O03,intermediate,case_study,planned,automated+technical+editorial
CQAI-00134,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O03,intermediate,case_study,planned,automated+technical+editorial
CQAI-00135,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O03,intermediate,case_study,planned,automated+technical+editorial
CQAI-00136,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O04,intermediate,capstone_task,planned,automated+technical+editorial
CQAI-00137,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O04,intermediate,capstone_task,planned,automated+technical+editorial
CQAI-00138,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O04,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00139,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O04,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00140,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O04,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00141,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O05,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00142,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O05,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00143,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O05,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00144,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O05,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00145,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O05,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00146,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O06,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00147,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O06,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00148,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O06,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00149,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O06,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00150,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O06,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00151,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O07,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00152,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O07,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00153,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O07,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00154,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O07,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00155,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O07,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00156,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O08,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00157,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O08,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00158,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O08,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00159,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O08,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00160,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O08,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00161,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O01,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00162,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O01,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00163,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O01,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00164,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O01,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00165,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O01,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00166,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O02,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00167,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O02,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00168,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O02,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00169,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O02,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00170,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O02,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00171,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O03,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00172,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O03,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00173,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O03,intermediate,multiple_choice,planned,automated+technical+editorial
CQAI-00174,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O03,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00175,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O03,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00176,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O04,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00177,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O04,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00178,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O04,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00179,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O04,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00180,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O04,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00181,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O05,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00182,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O05,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00183,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O05,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00184,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O05,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00185,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O05,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00186,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O06,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00187,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O06,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00188,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O06,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00189,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O06,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00190,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O06,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00191,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O07,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00192,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O07,intermediate,numeric_response,planned,automated+technical+editorial
CQAI-00193,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O07,intermediate,code_output,planned,automated+technical+editorial
CQAI-00194,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O07,intermediate,code_output,planned,automated+technical+editorial
CQAI-00195,T01,AI Orientation and Computational Thinking,Responsible AI Foundations,T01-M05-O07,intermediate,code_output,planned,automated+technical+editorial
CQAI-00196,T01,AI Orientation and Computational Thinking,What AI Can and Cannot Do,T01-M01-O08,intermediate,code_output,planned,automated+technical+editorial
CQAI-00197,T01,AI Orientation and Computational Thinking,Data Models and Algorithms,T01-M02-O08,intermediate,code_output,planned,automated+technical+editorial
CQAI-00198,T01,AI Orientation and Computational Thinking,Problem Decomposition,T01-M03-O08,intermediate,code_output,planned,automated+technical+editorial
CQAI-00199,T01,AI Orientation and Computational Thinking,Logic Patterns and Pseudocode,T01-M04-O08,intermediate,code_output,planned,automated+technical+editorial
